date,old_ticker,new_ticker
17/8/2023,RMED,VTAK
17/8/2023,DFFN,CRVO
15/8/2023,UIHC,ACIC
14/8/2023,BSAQ,VFS
14/8/2023,HHC,HHH
11/8/2023,MTAC,TLSI
11/8/2023,OXAC,JTAI
7/8/2023,ENOB,LNAI
4/8/2023,ISIG,LDWY
4/8/2023,GENQ,ESGL
2/8/2023,MMMB,MAMA
2/8/2023,CPUH,ALUR
1/8/2023,SHPW_WS,SHPSQ
1/8/2023,TLGA.WS,ELIWQ
1/8/2023,TLGA,ELIQQ
27/7/2023,GRIL,SDOT
24/7/2023,PMGM,AEON
20/7/2023,SEV,SSM
20/7/2023,CLBR,PSQH
20/7/2023,BSTG,HRGN
18/7/2023,FACT,SPWR
17/7/2023,ALPA,XAGE
17/7/2023,IPXXU,USAR
11/7/2023,GLTA,MRT
10/7/2023,RE,EG
6/7/2023,ORCC,OBDC
6/7/2023,GOGN,LZM
6/7/2023,IBA,IBAAY
5/7/2023,ERES,ABL
3/7/2023,SQZ,SQZB
3/7/2023,GSRM,BTM
3/7/2023,BGCP,BGC
29/6/2023,ERYP,PHXM
28/6/2023,GODNU,GMHS
27/6/2023,GNUS,TOON
22/6/2023,RENN,MTBLY
22/6/2023,METBV,METCB
21/6/2023,ROC,DTI
20/6/2023,HSC,NVRI
16/6/2023,INT,WKC
15/6/2023,PTE,PTEIQ
9/6/2023,RONI,NPWR
8/6/2023,WEJOW,WEJWQ
8/6/2023,AVAC,BENF
7/6/2023,FISV,FI
2/6/2023,JWAC,CJET
1/6/2023,QTEKW,QTEWQ
1/6/2023,KNF.W,KNF
1/6/2023,CLXT,CBUS
30/5/2023,DBD,DBDQQ
24/5/2023,ROCG,TYGO
23/5/2023,NH,NHIQ
23/5/2023,CIDM,CNVS
22/5/2023,OBNK,OBK
22/5/2023,ANPC,FREHY
22/5/2023,ABB,ABBNY
18/5/2023,GBRG,SDA
18/5/2023,IDW,IDWM
16/5/2023,PKI,RVTY
16/5/2023,AUD,AUDAQ
15/5/2023,AMV,NXUR
11/5/2023,SI,SICPQ
2/5/2023,FRC,FRCB
1/5/2023,CIIG,ZAPP
1/5/2023,ITCB,ITCL
1/5/2023,TMTCU,ELPW
28/4/2023,IMV,IMVIQ
26/4/2023,GIAF,QTIH
26/4/2023,IMH,IMPH
24/4/2023,VLON,GRI
19/4/2023,LCI,LCINQ
18/4/2023,PEARW,PERWQ
17/4/2023,ATY,ILLMF
14/4/2023,KAL,KALRQ
14/4/2023,BSGA,BTDR
10/4/2023,GLS,GLSHQ
6/4/2023,GIA,QTIH
4/4/2023,TYDE,ORBS
4/4/2023,CR.W,CR
3/4/2023,PTHRU,HOVR
31/3/2023,DHHC,UHG
31/3/2023,STAR,SAFE
31/3/2023,HLBZ,MCOM
30/3/2023,DISTU,YOUL
30/3/2023,JMAC,APLM
28/3/2023,SIVBP,SIVPQ
27/3/2023,MTP,BDRX
24/3/2023,INKAW,NIRWQ
24/3/2023,INKA,NIRLQ
24/3/2023,CETUU,MKDW
22/3/2023,BLI,CELL
21/3/2023,JATT,ZURA
21/3/2023,ZEST,ROII
21/3/2023,GRAY,CALC
20/3/2023,MCG,SHCO
17/3/2023,BLACU,OSRH
17/3/2023,SMIH,LSB
15/3/2023,KINZ,CXAI
14/3/2023,MARXU,STAI
14/3/2023,HAPP,PAVS
8/3/2023,LION,SMX
8/3/2023,SESN,CARM
6/3/2023,CAJ,CAJPY
6/3/2023,HPX,AMBI
3/3/2023,EBAC,OCS
1/3/2023,KMPH,ZVRA
1/3/2023,TPBA,LVRO
1/3/2023,RNER,HUBC
27/2/2023,RCII,UPBD
27/2/2023,MICT,TIOG
27/2/2023,DCRD,HHRS
24/2/2023,IMRA,ELVN
21/2/2023,MCAE,ETAOF
21/2/2023,ISR,CATX
16/2/2023,CENQ,VGAS
15/2/2023,LGTO,SLND
15/2/2023,AEHA,OCEA
14/2/2023,IPAX,LUNR
13/2/2023,PFDR,MVLA
13/2/2023,ADRA,AENT
10/2/2023,AMCI,LNZA
6/2/2023,MTMT,MPU
6/2/2023,PONO,AWIN
2/2/2023,ZNH,ZNHYY
2/2/2023,CEA,CEAYY
1/2/2023,IVC,IVCRQ
1/2/2023,TWND,BURU
31/1/2023,APN,APNC
30/1/2023,EXN,EXNRF
27/1/2023,HSAQ,OBIO
27/1/2023,IFNY,AMNI
26/1/2023,GIAC,CRGO
26/1/2023,BCOR,AVTA
25/1/2023,JCIC,BAER
25/1/2023,SFET,ALAR
23/1/2023,RKLY.WS,RKLWQ
18/1/2023,IDRA,ACGN
17/1/2023,VTS.W,VTS
12/1/2023,AERC,MKULQ
11/1/2023,PLTNU,DSY
10/1/2023,SMFR,WGS
10/1/2023,CCNC,GDC
10/1/2023,MTBC,CCLD
9/1/2023,LPI,VTLE
5/1/2023,MPAC,MMVVF
4/1/2023,DNAY,TBIO
4/1/2023,GLBL,ALTI
3/1/2023,OG,OGBLY
3/1/2023,LJAQ,MLEC
3/1/2023,NILE,GPUS
3/1/2023,GLS.WS,GLSWQ
24/12/2024,PIK,PIKM
24/12/2024,BNOX,NEUP
23/12/2024,FRES,FREHY
20/12/2024,JXJT,JXG
19/12/2024,NR,NPKI
18/12/2024,ATIF,ZBAI
18/12/2024,HRYU,GITS
17/12/2024,PFMT,PHLT
17/12/2024,LEV,LEVGQ
16/12/2024,LQR,YHC
16/12/2024,PIRS,PVLA
16/12/2024,BFAC,KIDZ
16/12/2024,IVCP,ANNA
16/12/2024,INAQ,AMOD
12/12/2024,BOWL,LUCK
11/12/2024,THCP,CNCK
9/12/2024,TCS,TCSGQ
9/12/2024,ROCL,NUAI
9/12/2024,LIFE,MSPR
9/12/2024,DYNXU,ETHM
6/12/2024,BOCN,TNMG
5/12/2024,ENG,ENGC
3/12/2024,MDJH,UOKA
2/12/2024,CCIRU,KYIV
29/11/2024,NRBO,MTVA
26/11/2024,CGA,ENFY
23/11/2024,TMTC,ELPW
20/11/2024,NOVV,RMSG
19/11/2024,PEGY,SUNE
18/11/2024,CBRG,CBRRF
15/11/2024,RCFA.U,RCFUF
15/11/2024,RCFA,BGL
14/11/2024,ACAB,ABP
13/11/2024,PMD,PMDI
12/11/2024,PTSI,PAMT
12/11/2024,FNVTU,FNVUF
11/11/2024,FNVT,SCAG
11/11/2024,PRMW,PRMB
